Player,Nation,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches,Team
Joško Gvardiol,hr CRO,DF,23-307,8,8,699,7.8,0,1,1,0,0,0,0,0,0.2,0.2,0.3,0.5,8,47,2,0.00,0.13,0.13,0.00,0.13,0.02,0.04,0.06,0.02,0.06,Matches,Manchester City
Jeremy Doku,be BEL,"MF,FW",23-183,12,8,696,7.7,1,3,4,1,0,0,0,0,1.1,1.1,4.7,5.8,81,37,82,0.13,0.39,0.52,0.13,0.52,0.14,0.61,0.75,0.14,0.75,Matches,Manchester City
,,,,,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,Expected,Progression,Progression,Progression,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,,Manchester City
Nicolás González,es ESP,MF,23-327,11,7,738,8.2,1,0,1,1,0,0,3,0,0.3,0.3,0.4,0.7,13,42,9,0.12,0.00,0.12,0.12,0.12,0.03,0.05,0.08,0.03,0.08,Matches,Manchester City
Oscar Bobb,no NOR,"MF,FW",22-137,9,5,468,5.2,0,1,1,0,0,0,1,0,0.4,0.4,0.7,1.1,17,18,55,0.00,0.19,0.19,0.00,0.19,0.08,0.13,0.21,0.08,0.21,Matches,Manchester City
Sávio,br BRA,"MF,FW",21-230,9,4,407,4.5,0,1,1,0,0,0,1,0,0.3,0.3,0.4,0.7,32,9,44,0.00,0.22,0.22,0.00,0.22,0.07,0.10,0.16,0.07,0.16,Matches,Manchester City
John Stones,eng ENG,DF,31-182,5,4,325,3.6,0,0,0,0,0,0,0,0,0.0,0.0,0.1,0.1,3,15,4,0.00,0.00,0.00,0.00,0.00,0.00,0.02,0.02,0.00,0.02,Matches,Manchester City
Rodri,es ESP,MF,29-157,6,4,293,3.3,0,0,0,0,0,0,0,0,0.1,0.1,0.1,0.2,4,20,5,0.00,0.00,0.00,0.00,0.00,0.04,0.03,0.07,0.04,0.07,Matches,Manchester City
,,,,,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,Expected,Progression,Progression,Progression,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,,Manchester City
Rayan Cherki,fr FRA,"MF,FW",22-101,7,4,292,3.2,1,2,3,1,0,0,0,0,0.8,0.8,2.0,2.8,10,17,17,0.31,0.62,0.92,0.31,0.92,0.25,0.62,0.87,0.25,0.87,Matches,Manchester City
James Trafford,eng ENG,GK,23-047,3,3,270,3.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,Manchester City
Abdukodir Khusanov,uz UZB,DF,21-270,4,3,228,2.5,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,2,5,4,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,Manchester City
Rayan Aït-Nouri,dz ALG,DF,24-173,4,3,203,2.3,0,0,0,0,0,0,1,0,0.0,0.0,0.2,0.2,7,7,8,0.00,0.00,0.00,0.00,0.00,0.02,0.09,0.11,0.02,0.11,Matches,Manchester City
Omar Marmoush,eg EGY,"FW,MF",26-292,7,2,186,2.1,0,1,1,0,0,0,0,0,1.1,1.1,1.0,2.1,7,5,18,0.00,0.48,0.48,0.00,0.48,0.53,0.49,1.01,0.53,1.01,Matches,Manchester City
,,,,,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,Expected,Progression,Progression,Progression,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,,Manchester City
Rico Lewis,eng ENG,DF,21-005,5,2,175,1.9,0,1,1,0,0,0,0,0,0.0,0.0,1.0,1.0,2,19,9,0.00,0.51,0.51,0.00,0.51,0.01,0.52,0.53,0.01,0.53,Matches,Manchester City
Nathan Aké,nl NED,DF,30-281,5,1,205,2.3,0,0,0,0,0,0,0,0,0.3,0.3,0.1,0.4,4,20,2,0.00,0.00,0.00,0.00,0.00,0.12,0.04,0.16,0.12,0.16,Matches,Manchester City
Mateo Kovačić,hr CRO,MF,31-204,1,0,5,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,Manchester City
Manuel Akanji,ch SUI,"DF,MF",30-130,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,Manchester City
Ederson,br BRA,GK,32-101,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,Manchester City
İlkay Gündoğan,de GER,MF,35-033,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,Manchester City
Ryan Mcaidoo,eng ENG,FW,17-155,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,Manchester City
Stephen Mfuni,eng ENG,DF,17-287,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,Manchester City
Divine Mukasa,eng ENG,MF,18-096,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,Manchester City
Stefan Ortega,de GER,GK,33-020,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,Manchester City
Squad Total,,,25.6,12,132,1080,12.0,22,19,41,22,0,1,21,0,21.8,21.0,18.6,39.7,320,479,472,1.83,1.58,3.42,1.83,3.42,1.82,1.55,3.37,1.75,3.30,,Manchester City
Opponent Total,,,26.9,12,132,1080,12.0,10,6,16,9,1,1,24,0,12.6,11.9,8.8,20.6,175,338,335,0.83,0.50,1.33,0.75,1.25,1.05,0.73,1.78,0.99,1.72,,Manchester City
Morgan Rogers,eng ENG,"FW,MF",23-123,12,12,1066,11.8,3,2,5,3,0,0,2,0,0.9,0.9,1.2,2.2,16,32,62,0.25,0.17,0.42,0.25,0.42,0.08,0.10,0.18,0.08,0.18,Matches,Aston Villa
Matty Cash,pl POL,DF,28-111,12,12,1056,11.7,2,0,2,2,0,0,3,0,0.3,0.3,1.0,1.3,15,41,51,0.17,0.00,0.17,0.17,0.17,0.03,0.09,0.11,0.03,0.11,Matches,Aston Villa
John McGinn,sct SCO,"MF,FW",31-039,12,12,904,10.0,1,0,1,1,0,0,2,0,1.0,1.0,1.0,2.0,11,43,30,0.10,0.00,0.10,0.10,0.10,0.10,0.10,0.20,0.10,0.20,Matches,Aston Villa
Ezri Konsa,eng ENG,DF,28-034,11,11,965,10.7,0,0,0,0,0,0,0,1,0.0,0.0,0.0,0.1,5,29,3,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.00,0.01,Matches,Aston Villa
Ollie Watkins,eng ENG,FW,29-331,12,11,933,10.4,1,0,1,1,0,0,0,0,2.6,2.6,0.5,3.1,19,13,68,0.10,0.00,0.10,0.10,0.10,0.25,0.05,0.30,0.25,0.30,Matches,Aston Villa
,,,,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,Expected,Progression,Progression,Progression,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,,Aston Villa
