Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTGS,ATGS,HTGC,ATGC,HTP,ATP,HM1,HM2,HM3,HM4,HM5,AM1,AM2,AM3,AM4,AM5,MW,HTFormPtsStr,ATFormPtsStr,HTFormPts,ATFormPts,HTWinStreak3,HTWinStreak5,HTLossStreak3,HTLossStreak5,ATWinStreak3,ATWinStreak5,ATLossStreak3,ATLossStreak5,HTGD,ATGD,DiffPts,DiffFormPtrs,DiffFormPts
23/09/00,Liverpool,Sunderland,1,1,NH,11,6,9,10,1.5714285714285714,1.0, ,D,W,W,D, ,W,L,D,L,7.0, DWWD, WLDL,8,4,0,0,0,0,0,0,0,0,0.2857142857142857,-0.5714285714285714,0.5714285714285714,4,0.5714285714285714
23/09/00,Man United,Chelsea,3,3,NH,17,7,4,9,2.0,0.8571428571428571, ,W,W,W,D, ,L,D,D,D,7.0, WWWD, LDDD,10,3,0,0,0,0,0,0,0,0,1.8571428571428572,-0.2857142857142857,1.1428571428571428,7,1.0
23/09/00,Middlesbrough,Aston Villa,1,1,NH,10,7,10,6,0.8571428571428571,1.2857142857142858, ,D,L,D,L, ,D,W,W,L,7.0, DLDL, DWWL,2,7,0,0,0,0,0,0,0,0,0.0,0.14285714285714285,-0.42857142857142855,-5,-0.7142857142857143
23/09/00,Newcastle,Charlton,0,1,NH,7,11,6,11,1.4285714285714286,1.1428571428571428, ,L,D,W,W, ,W,D,D,L,7.0, LDWW, WDDL,7,5,0,0,0,0,0,0,0,0,0.14285714285714285,0.0,0.2857142857142857,2,0.2857142857142857
23/09/00,Tottenham,Man City,0,0,NH,8,10,7,13,1.4285714285714286,1.0, ,L,W,W,L, ,D,L,W,L,7.0, LWWL, DLWL,6,4,0,0,0,0,0,0,0,0,0.14285714285714285,-0.42857142857142855,0.42857142857142855,2,0.2857142857142857
24/09/00,Leicester,Everton,1,1,NH,6,10,1,11,2.0,1.0, ,W,W,W,D, ,L,W,L,D,7.0, WWWD, LWLD,10,4,0,0,0,0,0,0,0,0,0.7142857142857143,-0.14285714285714285,1.0,6,0.8571428571428571
30/09/00,Aston Villa,Derby,4,1,H,7,12,6,14,1.2857142857142858,0.5714285714285714, ,D,W,W,L, ,L,D,D,D,7.0, DWWL, LDDD,7,3,0,0,0,0,0,0,0,0,0.14285714285714285,-0.2857142857142857,0.7142857142857143,4,0.5714285714285714
30/09/00,Charlton,Coventry,2,2,NH,12,6,11,12,1.375,0.875, ,W,W,D,D, ,L,L,D,L,8.0, WWDD, LLDL,8,1,0,0,0,0,0,0,0,0,0.125,-0.75,0.5,7,0.875
30/09/00,Everton,Ipswich,0,3,NH,11,8,12,10,1.0,1.0, ,D,L,W,L, ,D,W,L,L,8.0, DLWL, DWLL,4,4,0,0,0,0,0,0,0,0,-0.125,-0.25,0.0,0,0.0
30/09/00,Leeds,Tottenham,4,3,H,11,8,9,7,1.375,1.375, ,W,D,L,D, ,D,L,W,W,8.0, WDLD, DLWW,5,7,0,0,0,0,0,0,0,0,0.25,0.125,0.0,-2,-0.25
30/09/00,Man City,Newcastle,0,1,NH,10,7,13,7,1.0,1.25, ,D,D,L,W, ,L,L,D,W,8.0, DDLW, LLDW,5,4,0,0,0,0,0,0,0,0,-0.375,0.0,-0.25,1,0.125
30/09/00,Southampton,Middlesbrough,1,3,NH,10,11,9,11,1.125,0.875, ,W,W,L,D, ,D,D,L,D,8.0, WWLD, DDLD,7,3,0,0,0,0,0,0,0,0,0.125,0.0,0.25,4,0.5
30/09/00,West Ham,Bradford,1,1,NH,9,3,10,11,0.75,0.625, ,W,D,L,D, ,L,L,D,L,8.0, WDLD, LLDL,5,1,0,0,0,0,0,0,0,0,-0.125,-1.0,0.125,4,0.5
01/10/00,Arsenal,Man United,1,0,H,13,20,9,7,1.5,1.875, ,D,W,D,D, ,D,W,W,W,8.0, DWDD, DWWW,6,10,0,0,0,0,1,0,0,0,0.5,1.625,-0.375,-4,-0.5
01/10/00,Chelsea,Liverpool,3,0,H,10,12,12,10,0.875,1.5, ,D,L,D,D, ,D,D,W,W,8.0, DLDD, DDWW,3,8,0,0,0,0,0,0,0,0,-0.25,0.25,-0.625,-5,-0.625
01/10/00,Sunderland,Leicester,0,0,NH,7,7,11,2,1.0,1.875, ,D,W,L,D, ,D,W,W,W,8.0, DWLD, DWWW,5,10,0,0,0,0,1,0,0,0,-0.5,0.625,-0.875,-5,-0.625
14/10/00,Arsenal,Aston Villa,1,0,H,13,11,9,7,1.5,1.5, ,D,W,D,D, ,W,D,W,W,8.0, DWDD, WDWW,6,10,0,0,0,0,0,0,0,0,0.5,0.5,0.0,-4,-0.5
14/10/00,Coventry,Tottenham,2,1,H,8,11,14,11,0.8888888888888888,1.2222222222222223, ,D,L,L,D, ,L,D,L,W,9.0, DLLD, LDLW,2,4,0,0,0,0,0,0,0,0,-0.6666666666666666,0.0,-0.3333333333333333,-2,-0.2222222222222222
14/10/00,Everton,Southampton,1,1,NH,11,11,15,12,0.8888888888888888,1.0, ,L,D,L,W, ,L,W,W,L,9.0, LDLW, LWWL,4,6,0,0,0,0,0,0,0,0,-0.4444444444444444,-0.1111111111111111,-0.1111111111111111,-2,-0.2222222222222222
14/10/00,Ipswich,West Ham,1,1,NH,11,10,10,11,1.2222222222222223,0.7777777777777778, ,W,D,W,L, ,D,W,D,L,9.0, WDWL, DWDL,7,5,0,0,0,0,0,0,0,0,0.1111111111111111,-0.1111111111111111,0.4444444444444444,2,0.2222222222222222
14/10/00,Leeds,Charlton,3,1,H,14,14,10,13,1.5555555555555556,1.3333333333333333, ,W,W,D,L, ,D,W,W,D,9.0, WWDL, DWWD,7,8,0,0,0,0,0,0,0,0,0.4444444444444444,0.1111111111111111,0.2222222222222222,-1,-0.1111111111111111
